TILEID,LASTNIGHT,FIBER,CLUSTER
25117,20220315,4507,0
25117,20220315,4923,0
20636,20220509,2171,0
42730,20240409,2171,-1
6640,20230111,4891,0
42763,20230906,4507,0
41127,20220514,4733,0
41127,20220514,4738,0
22334,20230308,651,0
20738,20210523,466,0
82401,20211120,4923,0
22885,20220314,651,0
25572,20231012,2171,0
5677,20211202,357,0
3756,20230226,4912,0
3756,20230226,4923,0
472,20210505,4849,0
2411,20220103,4912,0
21351,20221106,357,0
24536,20231031,651,0
40536,20230406,466,-1
42141,20240403,4912,0
3918,20230211,4849,0
3918,20230211,4912,0
25332,20211129,4733,0
25332,20211129,4738,0
24662,20211117,651,0
25298,20220414,357,0
22627,20230506,466,0
22493,20231123,2171,0
24082,20231028,466,0
22290,20230430,2171,0
20698,20230824,4733,0
25560,20220913,4912,0
25990,20211026,4733,0
22228,20240329,4891,0
10315,20210930,4891,0
22026,20230107,3448,0
10498,20220213,4923,0
10186,20221222,357,0
25352,20230206,651,0
40535,20220113,2171,-1
20951,20230928,357,0
40483,20230308,357,0
22020,20230506,4733,0
24334,20220611,4923,0
42645,20240322,466,0
22239,20220123,3448,0
26133,20220211,2171,0
20503,20210626,4733,0
10865,20230328,651,0
25336,20220314,3448,0
22686,20220423,3448,0
42665,20220217,2171,0
11574,20230128,2171,0
22121,20210923,4891,0
22121,20210923,4912,0
24294,20220512,4733,0
24294,20220512,4891,0
